GeoID	E-Value (from SR's file)	Uniprot ID	Protein Name	Species 	GO Process	PFAM			B/E Case Inlet	B/E Fidalgo Bay	B/E Port Gamble	B/E Skokomish	E/B Case Inlet	E/B Fidalgo Bay	E/B Port Gamble	E/B Skokomish	# Bare Sites	# Eelgrass Sites
comp118965_c1_seq1	5.00E-30	A1XQX0	Neurexin-1a (Neurexin Ia-alpha) (Neurexin-1a-alpha)	Danio rerio (Zebrafish) (Brachydanio rerio)	cell adhesion [GO:0007155]; sprouting angiogenesis [GO:0002040]	PF00008;PF02210;PF01034;	comp118965_c1_seq1	m.10880		3.72	135.74	3.41					3	0
comp138933_c0_seq10	3.00E-41	A6NFN3	RNA binding protein fox-1 homolog 3 (Fox-1 homolog C)	Homo sapiens (Human)	"mRNA processing [GO:0006397]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; RNA splicing [GO:0008380]"	PF12414;PF00076;	comp138933_c0_seq10	m.31277	2.97	2.26	4.52						3	0
comp138933_c0_seq9	2.00E-41	A6QPR6	RNA binding protein fox-1 homolog 2 (Fox-1 homolog B) (RNA-binding motif protein 9) (RNA-binding protein 9)	Bos taurus (Bovine)	"intracellular estrogen receptor signaling pathway [GO:0030520]; mRNA processing [GO:0006397]; negative regulation of transcription, DNA-templated [GO:0045892]; nervous system development [GO:0007399]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; RNA splicing [GO:0008380]"	PF12414;PF00076;	comp138933_c0_seq9	m.31275	2.97	2.26	4.52						3	0
comp68009_c0_seq1	3.00E-50	A7MB45	"Acyl-CoA synthetase short-chain family member 3, mitochondrial (EC 6.2.1.1)"	Bos taurus (Bovine)	metabolic process [GO:0008152]	PF16177;PF00501;PF13193;	comp68009_c0_seq1	m.2850	3.01	3.21	3.84					9.33	3	1
comp142890_c0_seq2	6.00E-32	C3Z1P5	U1 small nuclear ribonucleoprotein C (U1 snRNP C) (U1-C) (U1C)	Branchiostoma floridae (Florida lancelet) (Amphioxus)	mRNA 5'-splice site recognition [GO:0000395]; spliceosomal snRNP assembly [GO:0000387]	PF06220;	comp142890_c0_seq2	m.43730	2.24	2.2		4.57					3	0
comp131275_c0_seq1	0	D2XV59	GTP-binding protein 1	Rattus norvegicus (Rat)	positive regulation of mRNA catabolic process [GO:0061014]; translational elongation [GO:0006414]		comp131275_c0_seq1	m.19058	2.03	2.79	3.18						3	0
comp129170_c0_seq1	5.00E-81	O01393	Innexin unc-9 (Uncoordinated protein 9)	Caenorhabditis elegans	ion transmembrane transport [GO:0034220]	PF00876;	comp129170_c0_seq1	m.17040	14.57	11.79	2.94						3	0
comp136550_c0_seq1	9.00E-06	O07399	3-oxoacyl-[acyl-carrier-protein] reductase FabG (EC 1.1.1.100) (3-ketoacyl-acyl carrier protein reductase) (Beta-Ketoacyl-acyl carrier protein reductase) (Beta-ketoacyl-ACP reductase)	Mycobacterium avium	fatty acid elongation [GO:0030497]		comp136550_c0_seq1	m.26522	2.09	2.15	3.09						3	0
comp64631_c0_seq1	2.00E-32	O08688	Calpain-5 (EC 3.4.22.-) (New calpain 3) (nCL-3)	Mus musculus (Mouse)	granulosa cell differentiation [GO:0060014]; luteinization [GO:0001553]; ovarian follicle development [GO:0001541]; proteolysis [GO:0006508]	PF01067;PF00648;	comp64631_c0_seq1	m.2637	2.49	10.08		21.36					3	0
comp130175_c1_seq1	1.00E-08	O30409	Tyrocidine synthase 3 (Tyrocidine synthase III) [Includes: ATP-dependent asparagine adenylase (AsnA) (Asparagine activase); ATP-dependent glutamine adenylase (GlnA) (Glutamine activase); ATP-dependent tyrosine adenylase (TyrA) (Tyrosine activase); ATP-dependent valine adenylase (ValA) (Valine activase); ATP-dependent ornithine adenylase (OrnA) (Ornithine activase); ATP-dependent leucine adenylase (LeuA) (Leucine activase)]	Brevibacillus parabrevis	antibiotic biosynthetic process [GO:0017000]	PF00501;PF13193;PF00668;PF00550;PF00975;	comp130175_c1_seq1	m.17902	2.68	6.34	30.17					5.77	3	1
