Protein ID, FB Eelgrass , PG Eelgrass , CI Eelgrass , SK Eelgrass , FB Bare , PG Bare , CI Bare , SK Bare , WB Bare ,Ave Eelgrass,Ave Bare,,,
cds.comp100047_c0_seq1|m.5980, 0.0010 , 0.0004 , 0.0000 , 0.0000 , 0.0003 , 0.0006 , 0.0002 , 0.0001 , 0.0002 , 0.0004 , 0.0003 ,,,
cds.comp100108_c0_seq1|m.5990, 0.0028 , 0.0028 , 0.0000 , 0.0001 , 0.0050 , 0.0048 , 0.0043 , 0.0013 , 0.0003 , 0.0014 , 0.0031 ,,,
cds.comp100125_c0_seq1|m.5998, 0.0215 , 0.0389 , 0.0121 , 0.0116 , 0.0115 , 0.0303 , 0.0228 , 0.0307 , 0.0374 , 0.0210 , 0.0265 ,,,
cds.comp100176_c0_seq1|m.6005, 0.0031 , 0.0038 , 0.0010 , 0.0056 , 0.0041 , 0.0016 , 0.0018 , 0.0026 , 0.0029 , 0.0034 , 0.0026 ,,,
cds.comp100298_c0_seq1|m.6020, 0.1662 , 0.0418 , 0.1758 , 0.0082 , 0.3474 , 0.0819 , 0.0463 , 0.0224 , 0.0118 , 0.0980 , 0.1019 ,,,
cds.comp100366_c1_seq1|m.6028, 0.0000 , 0.0004 , 0.0007 , 0.0111 , 0.0017 , 0.0009 , 0.0003 , 0.0003 , 0.0008 , 0.0030 , 0.0008 ,,,
cds.comp100484_c0_seq3|m.6045, 0.0004 , 0.0013 , 0.0024 , 0 , 0.0000 , 0.0010 , 0.0026 , 0.0023 , 0.0020 , 0.0012 , 0.0016 ,,,
cds.comp100725_c0_seq1|m.6076, 0.0276 , 0.0034 , 0.0319 , 0.0133 , 0.0276 , 0.0091 , 0.0375 , 0.0098 , 0.0191 , 0.0191 , 0.0206 ,,,
cds.comp100725_c0_seq3|m.6077, 0.0276 , 0.0034 , 0.0319 , 0.0133 , 0.0276 , 0.0091 , 0.0375 , 0.0098 , 0.0191 , 0.0191 , 0.0206 ,,,
cds.comp100759_c0_seq1|m.6090, 0.0224 , 0.0165 , 0.0089 , 0.0266 , 0.0210 , 0.0304 , 0.0049 , 0.0253 , 0.0087 , 0.0186 , 0.0180 ,,,
cds.comp100946_c0_seq1|m.6120, 0.0001 , 0.0031 , 0.0009 , 0.0003 , 0.0009 , 0.0030 , 0.0008 , 0.0009 , 0.0028 , 0.0011 , 0.0017 ,,,
cds.comp100946_c0_seq2|m.6121, 0.0001 , 0.0031 , 0.0009 , 0.0003 , 0.0009 , 0.0030 , 0.0008 , 0.0009 , 0.0028 , 0.0011 , 0.0017 ,,,
cds.comp101146_c1_seq1|m.6156, 0.0005 , 0.0007 , 0.0001 , 0.0000 , 0.0000 , 0.0005 , 0.0003 , 0.0002 , 0.0004 , 0.0003 , 0.0003 ,,,
cds.comp101296_c1_seq1|m.6176, 0.0010 , 0.0017 , 0.0011 , 0.0002 , 0.0007 , 0.0006 , 0.0009 , 0.0006 , 0.0005 , 0.0010 , 0.0007 ,,,
cds.comp101296_c1_seq2|m.6177, 0.0010 , 0.0017 , 0.0011 , 0.0002 , 0.0007 , 0.0006 , 0.0009 , 0.0006 , 0.0005 , 0.0010 , 0.0007 ,,,
cds.comp101400_c0_seq1|m.6193, 0.0397 , 0.0380 , 0.0227 , 0.0314 , 0.0361 , 0.0333 , 0.0265 , 0.0291 , 0.0311 , 0.0329 , 0.0312 ,,,
