NormProtAreaAgg.Protein.Name	bareCaseInlet	bareFidalgoBay	barePortGamble	bareSkokomishRiver	bareWillapaBay	eelgrassCaseInlet	eelgrassFidalgoBay	eelgrassPortGamble	eelgrassSkokomishRiver	Evalue	SPID	ProteinName	Organism	GO	PFAM
comp100298_c0_seq1	0.049085381	0.352080788	0.081583334	0.015635447	0.007598442	0.174354092	0.170573544	0.041475866	0.008458747	1e-17	A0R5M8	Histidine N-alpha-methyltransferase (EC 2.1.1.44) (Histidine trimethyltransferase)	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	ergothioneine biosynthesis from histidine via N-alpha,N-alpha,N-alpha-trimethyl-L-histidine [GO:0052704]; N-alpha,N-alpha,N-alpha-trimethyl-L-histidine biosynthesis from histidine [GO:0052707]	PF10017;
comp100366_c1_seq1	0.000210256	0.001807734	0.000738018	7.9994e-05	0.001091028	0.000244785	0.00465853476190476	0.000161709	0.010575891	1e-43	Q852M1	Probable aldehyde oxidase 2 (AO-2) (EC 1.2.3.1)	Oryza sativa subsp. japonica (Rice)	abscisic acid biosynthetic process [GO:0009688]; auxin biosynthetic process [GO:0009851]; xanthine catabolic process [GO:0009115]	PF01315;PF02738;PF03450;PF00941;PF00111;PF01799;
comp100725_c0_seq3	0.032249727	0.025532939	0.008766855	0.010803502	0.015729153	0.035893927	0.026296309	0.003635398	0.015527119	7e-32	P86982	Insoluble matrix shell protein 1 (IMSP1) (Fragment)	Ruditapes philippinarum (Japanese littleneck clam) (Venerupis philippinarum)		
comp100759_c0_seq1	0.009311351	0.019204549	0.036884339	0.023788855	0.017216166	0.013415597	0.018131528	0.017690325	0.02890445	4e-12	A0R4R3	3-ketosteroid-9-alpha-monooxygenase oxygenase subunit (EC 1.14.13.142) (3-ketosteroid-9-alpha-hydroxylase oxygenase subunit) (Rieske-type oxygenase) (RO)	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	lipid catabolic process [GO:0016042]; steroid biosynthetic process [GO:0006694]	PF00355;
comp101146_c1_seq1	5.8595e-05	0.00155971993333333	4.583e-06	0.000339744	0.000800734	5.289e-06	0.000108645	0.000948261	2.4863e-05	4e-97	Q08499	cAMP-specific 3',5'-cyclic phosphodiesterase 4D (EC 3.1.4.53) (DPDE3) (PDE43)	Homo sapiens (Human)	adrenergic receptor signaling pathway [GO:0071875]; adrenergic receptor signaling pathway involved in positive regulation of heart rate [GO:0086024]; aging [GO:0007568]; cAMP catabolic process [GO:0006198]; cAMP-mediated signaling [GO:0019933]; cellular response to cAMP [GO:0071320]; cellular response to epinephrine stimulus [GO:0071872]; cellular response to lipopolysaccharide [GO:0071222]; establishment of endothelial barrier [GO:0061028]; multicellular organism growth [GO:0035264]; negative regulation of heart contraction [GO:0045822]; negative regulation of peptidyl-serine phosphorylation [GO:0033137]; negative regulation of relaxation of cardiac muscle [GO:1901898]; neutrophil chemotaxis [GO:0030593]; positive regulation of interferon-gamma production [GO:0032729]; positive regulation of interleukin-2 production [GO:0032743]; positive regulation of interleukin-5 production [GO:0032754]; regulation of cAMP metabolic process [GO:0030814]; regulation of cardiac muscle cell contraction [GO:0086004]; regulation of cell communication by electrical coupling involved in cardiac conduction [GO:1901844]; regulation of heart rate [GO:0002027]; regulation of receptor activity [GO:0010469]; regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum [GO:0010880]; regulation of ryanodine-sensitive calcium-release channel activity [GO:0060314]; smooth muscle contraction [GO:0006939]; T cell receptor signaling pathway [GO:0050852]	PF00233;
comp101296_c1_seq1	4.5356e-05	0.001291564	0.000211094	0.001194105	0.000817817	0.000936416	0.001415005	0.002555404	0.000303799	8e-100	Q803V5	Target of rapamycin complex subunit lst8 (TORC subunit lst8) (G protein beta subunit-like) (Gable) (Protein GbetaL) (MTOR associated protein, LST8 homolog)	Danio rerio (Zebrafish) (Brachydanio rerio)		PF00400;
comp101296_c1_seq2	4.5356e-05	0.001291564	0.000211094	0.001194105	0.000817817	0.000936416	0.001415005	0.002555404	0.000303799	3e-107	Q803V5	Target of rapamycin complex subunit lst8 (TORC subunit lst8) (G protein beta subunit-like) (Gable) (Protein GbetaL) (MTOR associated protein, LST8 homolog)	Danio rerio (Zebrafish) (Brachydanio rerio)		PF00400;
comp101400_c1_seq1	0.053166197	0.02439413	0.033020389	0.05118231	0.050395051	0.0328916	0.053514934	0.046797846	0.052356292	8e-84	Q28DB5	Alanine aminotransferase 2 (ALT2) (EC 2.6.1.2) (Glutamate pyruvate transaminase 2) (GPT 2) (Glutamic--alanine transaminase 2) (Glutamic--pyruvic transaminase 2)	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)	2-oxoglutarate metabolic process [GO:0006103]; biosynthetic process [GO:0009058]; L-alanine catabolic process [GO:0042853]; L-alanine metabolic process [GO:0042851]	PF00155;
comp101435_c0_seq1	0.004563147	0.004418016	0.008404648	0.000634569	0.003363706	0.00149563	0.00296917	0.00047201	0.002929845	2e-45	Q502J0	Lysophosphatidylcholine acyltransferase 2 (LPC acyltransferase 2) (LPCAT-2) (LysoPC acyltransferase 2) (EC 2.3.1.23) (1-acylglycerol-3-phosphate O-acyltransferase 11) (1-AGP acyltransferase 11) (1-AGPAT 11) (EC 2.3.1.51) (1-acylglycerophosphocholine O-acyltransferase) (1-alkylglycerophosphocholine O-acetyltransferase) (EC 2.3.1.67) (Acyltransferase-like 1)	Danio rerio (Zebrafish) (Brachydanio rerio)	phospholipid biosynthetic process [GO:0008654]	PF01553;PF13202;PF13499;
comp101490_c0_seq1	0.042787716	0.031505209	0.014660894	0.033822018	0.021556966	0.022579347	0.035077648	0.036405941	0.025604569	4e-73	Q5ZIJ9	E3 ubiquitin-protein ligase MIB2 (EC 6.3.2.-) (Mind bomb homolog 2)	Gallus gallus (Chicken)	Notch signaling pathway [GO:0007219]	PF12796;PF06701;PF00569;
