GeoID,GO,Ave Eelgrass ,Ave Bare,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comp100298_c0_seq1,"ergothioneine biosynthesis from histidine via N-alpha,N-alpha,N-alpha-trimethyl-L-histidine [GO:0052704]; N-alpha,N-alpha,N-alpha-trimethyl-L-histidine biosynthesis from histidine [GO:0052707]",0.098006,0.10194,GO:0052704,GO:0052707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comp100366_c1_seq1,abscisic acid biosynthetic process [GO:0009688]; auxin biosynthetic process [GO:0009851]; xanthine catabolic process [GO:0009115],0.003476,0.000803,GO:0009688,GO:0009851,GO:0009115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comp100725_c0_seq3,,0.019061,0.02062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comp100759_c0_seq1,lipid catabolic process [GO:0016042]; steroid biosynthetic process [GO:0006694],0.01859,0.018047,GO:0016042,GO:0006694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comp101146_c1_seq1,adrenergic receptor signaling pathway [GO:0071875]; adrenergic receptor signaling pathway involved in positive regulation of heart rate [GO:0086024]; aging [GO:0007568]; cAMP catabolic process [GO:0006198]; cAMP-mediated signaling [GO:0019933]; cellular response to cAMP [GO:0071320]; cellular response to epinephrine stimulus [GO:0071872]; cellular response to lipopolysaccharide [GO:0071222]; establishment of endothelial barrier [GO:0061028]; multicellular organism growth [GO:0035264]; negative regulation of heart contraction [GO:0045822]; negative regulation of peptidyl-serine phosphorylation [GO:0033137]; negative regulation of relaxation of cardiac muscle [GO:1901898]; neutrophil chemotaxis [GO:0030593]; positive regulation of interferon-gamma production [GO:0032729]; positive regulation of interleukin-2 production [GO:0032743]; positive regulation of interleukin-5 production [GO:0032754]; regulation of cAMP metabolic process [GO:0030814]; regulation of cardiac muscle cell contraction [GO:0086004]; regulation of cell communication by electrical coupling involved in cardiac conduction [GO:1901844]; regulation of heart rate [GO:0002027]; regulation of receptor activity [GO:0010469]; regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum [GO:0010880]; regulation of ryanodine-sensitive calcium-release channel activity [GO:0060314]; smooth muscle contraction [GO:0006939]; T cell receptor signaling pathway [GO:0050852],0.000341,0.000316,GO:0071875,GO:0086024,GO:0007568,GO:0006198,GO:0019933,GO:0071320,GO:0071872,GO:0071222,GO:0061028,GO:0035264,GO:0045822,GO:0033137,GO:1901898,GO:0030593,GO:0032729,GO:0032743,GO:0032754,GO:0030814,GO:0086004,GO:1901844,GO:0002027,GO:0010469,GO:0010880,GO:0060314,GO:0006939,GO:0050852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comp101296_c1_seq1,,0.001001,0.000666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comp101296_c1_seq2,,0.001001,0.000666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comp101400_c1_seq1,2-oxoglutarate metabolic process [GO:0006103]; biosynthetic process [GO:0009058]; L-alanine catabolic process [GO:0042853]; L-alanine metabolic process [GO:0042851],0.050028,0.045299,GO:0006103,GO:0009058,GO:0042853,GO:0042851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comp101435_c0_seq1,phospholipid biosynthetic process [GO:0008654],0.002273,0.004559,GO:0008654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comp101490_c0_seq1,Notch signaling pathway [GO:0007219],0.037256,0.035186,GO:0007219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
