NormProtAreaAgg.Protein.Name	bareCaseInlet	bareFidalgoBay	barePortGamble	bareSkokomishRiver	bareWillapaBay	eelgrassCaseInlet	eelgrassFidalgoBay	eelgrassPortGamble	eelgrassSkokomishRiver
comp100047_c0_seq1	0.000274117	0	0.001112311	1.0789e-05	0.000117193	1.5781e-05	0.000714652	0.000380915	0
comp100108_c0_seq1	0.004258731	0.001029453	0.00584513	0.002425469	0.000287066	2.1652e-05	0.004974525	0.003985652	0.000144132
comp100125_c0_seq1	0.023615577	0.009687433	0.005234592	0.028945309	0.027529486	0.013619601	0.004308603	0.043520744	0.003222629
comp100176_c0_seq1	0.001393374	0.00276387	0.000660648	0.002396366	0.002350118	0.000272924	0.002202608	0.003756765	0.005382103
comp100298_c0_seq1	0.049085381	0.352080788	0.081583334	0.015635447	0.007598442	0.174354092	0.170573544	0.041475866	0.008458747
comp100366_c1_seq1	0.000210256	0.001807734	0.000738018	7.9994e-05	0.001091028	0.000244785	0.00465853476190476	0.000161709	0.010575891
comp100484_c0_seq3	0.003020716	1.0337e-05	0.001423413	0.001347145	0.001749509	0.002961407	0.00465853476190476	0.000777712	0.001541739
comp100725_c0_seq1	0.032249727	0.025532939	0.008766855	0.010803502	0.015729153	0.035893927	0.026296309	0.003635398	0.015527119
comp100725_c0_seq3	0.032249727	0.025532939	0.008766855	0.010803502	0.015729153	0.035893927	0.026296309	0.003635398	0.015527119
comp100759_c0_seq1	0.009311351	0.019204549	0.036884339	0.023788855	0.017216166	0.013415597	0.018131528	0.017690325	0.02890445
comp100946_c0_seq1	0.001541404	0.001789233	0.004488062	6.7022e-05	0.001450319	0.001228783	6.6921e-05	0.003815843	6.0381e-05
comp100946_c0_seq2	0.001541404	0.001789233	0.004488062	6.7022e-05	0.001450319	0.001228783	6.6921e-05	0.003815843	6.0381e-05
comp101146_c1_seq1	5.8595e-05	0.00155971993333333	4.583e-06	0.000339744	0.000800734	5.289e-06	0.000108645	0.000948261	2.4863e-05
comp101296_c1_seq1	4.5356e-05	0.001291564	0.000211094	0.001194105	0.000817817	0.000936416	0.001415005	0.002555404	0.000303799
comp101296_c1_seq2	4.5356e-05	0.001291564	0.000211094	0.001194105	0.000817817	0.000936416	0.001415005	0.002555404	0.000303799
comp101400_c0_seq1	0.028762466	0.038140015	0.035507451	0.033352548	0.034092779	0.027368382	0.035905796	0.040049076	0.033681784
comp101400_c1_seq1	0.053166197	0.02439413	0.033020389	0.05118231	0.050395051	0.0328916	0.053514934	0.046797846	0.052356292
comp101435_c0_seq1	0.004563147	0.004418016	0.008404648	0.000634569	0.003363706	0.00149563	0.00296917	0.00047201	0.002929845
comp101490_c0_seq1	0.042787716	0.031505209	0.014660894	0.033822018	0.021556966	0.022579347	0.035077648	0.036405941	0.025604569
comp101681_c0_seq2	2.4813e-05	0.001478148	7.3168e-05	4.0933e-05	1.0402e-05	0.000199469	0.000151494	0.001371565	0.000167324
comp101771_c0_seq1	0.003647838	0.006728243	0.00159697365625	0.00105646421212121	8.5912e-05	0.00014141	0.000276401	0.00426841696296296	0.000398582
comp101949_c0_seq2	0.00992082	0.002921785	0.006530868	0.017138189	0.010768871	0.004227327	7.2819e-05	0.005882098	0.010300533
comp101984_c0_seq1	0.002152507	0.010291338	0.000767532	0.000466122	0.002453978	0.005326248	0.000342818	0.000856524	0.002227848
comp101984_c1_seq1	0.001967935	0.00342436	0.003751468	0.002517594	0.000200054	0.003306175	0.001958216	0.002372055	0.003653421
comp101998_c0_seq1	0.001383963	0.005453331	0.000712873	0.001082623	0.001306102	0.0006783	0.00251398	0.005721619	0.002393941
comp102255_c0_seq1	0.001167435	0.000294819	0.000536573	0.00102635	0.001036723	0.000539163	0.00067535	0.001645709	0.000703991
comp102256_c1_seq1	0.002716201	0.008968762	0.005809922	0.004876671	0.002450838	0.00742938	0.000721276	0.009983448	0.012481803
comp102288_c0_seq1	0.150755283	0.018136284	0.285533588	0.188357745	0.306499038	0.084451525	0.252833182	0.200925907	0.207155265
comp102293_c0_seq1	0.003959709	0.004582995	0.040395698	0.001515288	0.00398455	0.032708234	0.016915912	0.008444899	0.000747131
comp102323_c2_seq1	0.011252656	0.056763636	0.027142033	0.001866609	0.018048049	0.025733363	0.023503962	0.007685352	0.010315507
comp102323_c2_seq2	0.011252656	0.056763636	0.027142033	0.001866609	0.018048049	0.025733363	0.023503962	0.007685352	0.010315507
